,User ID,Skill,Training,Background,Recognized,Target,Correct
0,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-3-2,1-3-2,True
1,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-5-3,1-5-3,True
2,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-3-5,1-3-5,True
3,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-5-8,1-5-8,True
4,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-2-3,1-2-3,True
5,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-5-1,1-5-1,True
6,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-5-3,1-5-3,True
7,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-5-1,1-5-1,True
8,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-2-3,1-4-1,False
9,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-2-3,1-3-2,False
10,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-4-1,1-3-5,False
11,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,,1-2-3,False
12,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,,1-5-8,False
13,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,No-Music,1-4-1,1-4-1,True
14,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-5-8,1-5-8,True
15,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-5-8,1-5-8,True
16,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-3-2,1-3-2,True
17,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-3-2,1-3-2,True
18,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-5-1,1-5-1,True
19,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-3-5,1-3-5,True
20,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-5-3,1-5-3,True
21,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-3-5,1-3-5,True
22,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-2-3,1-2-3,True
23,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-2-3,1-2-3,True
24,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-4-1,1-4-1,True
25,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-4-1,1-4-1,True
26,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-5-1,1-5-1,True
27,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Untrained,Music,1-5-3,1-5-3,True
28,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,No-Music,1-3-2,1-3-2,True
29,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,No-Music,1-5-1,1-5-1,True
30,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,No-Music,1-5-1,1-5-1,True
31,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,No-Music,1-2-3,1-2-3,True
32,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,No-Music,1-4-1,1-4-1,True
33,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,No-Music,1-4-1,1-4-1,True
34,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,No-Music,1-3-5,1-3-5,True
35,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,Trained,No-Music,1-3-5,1-3-5,True
