,User ID,Skill,Background,Training,Success,Recognized pitch,Time,Semitones from target
0,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.0,-0.3019187286354956
1,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.010670108616679051,-0.2681385413508508
2,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.021598365033225524,-0.35192731774670705
3,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.03222544905933447,-0.36053711858210136
4,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.04287404538072847,-0.3648436252223135
5,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.053608690985841395,-0.3669972803311481
6,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.06445089811866894,-0.3680742083619073
7,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.07512100678663734,-0.36861269750001924
8,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.08594170162417984,-0.33523359665104024
9,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.0966333225874333,-0.31856814899355257
10,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.10754006665740537,-0.2764450225480104
11,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.11801656446265087,-0.2891771902804052
12,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.12885877164676776,-0.3291180170795869
13,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.13989458964231824,-0.3491230386062547
14,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.1503495751009893,-0.3591342247440039
15,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.16134236850596967,-0.3305028402878243
16,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.17192642789021914,-0.3162048851196104
17,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.18270409808590218,-0.3426578035508925
18,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.1935463052700191,-0.3222762827925898
19,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.20404431537054965,-0.24429599492076903
20,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.21505862107081505,-0.2730833877095371
21,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.22564268040377516,-0.2874950546746753
22,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.23646337529260703,-0.29470538953031067
23,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.24724104548829004,-0.2983116833952515
24,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.25808325267240695,-0.26633844042822474
25,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.34419705281273527,0.09829251651773063
26,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.35493169836655886,0.3854010919791335
27,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.36553727009738274,0.49138689995128004
28,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.37622889100934687,0.5086623575406932
29,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.3870495858981787,0.4470258334443855
30,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.39789179303100625,0.4161250847082698
31,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.40856190169897466,0.3657461263142281
32,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.4193395718946577,0.34050156415940336
33,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.42992363127890715,0.39804700335229626
34,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.44085188769545364,0.3916092404314
35,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.4514144347331287,0.35345682118867217
36,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.46238571579153465,0.3693202131350688
37,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.47296977517578415,0.27301171067313845
38,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.5052382488769781,0.329181222450174
39,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.537485210282887,0.2528418902242038
40,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.548478003636578,0.24919766718177527
41,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.5591050876626869,0.10998954090140955
42,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.5697321716375064,-0.09473956871276457
43,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.5806389157587679,-0.23140169182107329
44,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.5914165860057403,-0.36658782546394164
45,4g4XbueBXPakEKcHYSqqot76sGg1,Expert,No-Music,Untrained,True,32,0.6021297192642788,-0.4013207963528842
