,Technique,User ID,Skill,Metric,Rating
0,Pitch,4g4XbueBXPakEKcHYSqqot76sGg1,2,Mental demand,3
1,Pitch,4g4XbueBXPakEKcHYSqqot76sGg1,2,Physical demand,2
2,Pitch,4g4XbueBXPakEKcHYSqqot76sGg1,2,Temporal demand,2
3,Pitch,4g4XbueBXPakEKcHYSqqot76sGg1,2,Performance,2
4,Pitch,4g4XbueBXPakEKcHYSqqot76sGg1,2,Effort,5
5,Pitch,4g4XbueBXPakEKcHYSqqot76sGg1,2,Frustration,1
6,Pitch,4g4XbueBXPakEKcHYSqqot76sGg1,2,Enjoyability,7
7,Pitch,4g4XbueBXPakEKcHYSqqot76sGg1,2,Background music,7
8,Interval,4g4XbueBXPakEKcHYSqqot76sGg1,2,Mental demand,5
9,Interval,4g4XbueBXPakEKcHYSqqot76sGg1,2,Physical demand,5
10,Interval,4g4XbueBXPakEKcHYSqqot76sGg1,2,Temporal demand,5
11,Interval,4g4XbueBXPakEKcHYSqqot76sGg1,2,Performance,3
12,Interval,4g4XbueBXPakEKcHYSqqot76sGg1,2,Effort,4
13,Interval,4g4XbueBXPakEKcHYSqqot76sGg1,2,Frustration,3
14,Interval,4g4XbueBXPakEKcHYSqqot76sGg1,2,Enjoyability,7
15,Interval,4g4XbueBXPakEKcHYSqqot76sGg1,2,Background music,7
16,Melody,4g4XbueBXPakEKcHYSqqot76sGg1,2,Mental demand,5
17,Melody,4g4XbueBXPakEKcHYSqqot76sGg1,2,Physical demand,5
18,Melody,4g4XbueBXPakEKcHYSqqot76sGg1,2,Temporal demand,5
19,Melody,4g4XbueBXPakEKcHYSqqot76sGg1,2,Performance,2
20,Melody,4g4XbueBXPakEKcHYSqqot76sGg1,2,Effort,3
21,Melody,4g4XbueBXPakEKcHYSqqot76sGg1,2,Frustration,4
22,Melody,4g4XbueBXPakEKcHYSqqot76sGg1,2,Enjoyability,7
23,Melody,4g4XbueBXPakEKcHYSqqot76sGg1,2,Background music,7
24,Pitch,ND7YXptQpfcoYks37w3hh28VzIJ2,2,Mental demand,3
25,Pitch,ND7YXptQpfcoYks37w3hh28VzIJ2,2,Physical demand,3
26,Pitch,ND7YXptQpfcoYks37w3hh28VzIJ2,2,Temporal demand,3
27,Pitch,ND7YXptQpfcoYks37w3hh28VzIJ2,2,Performance,2
28,Pitch,ND7YXptQpfcoYks37w3hh28VzIJ2,2,Effort,2
29,Pitch,ND7YXptQpfcoYks37w3hh28VzIJ2,2,Frustration,1
30,Pitch,ND7YXptQpfcoYks37w3hh28VzIJ2,2,Enjoyability,1
31,Pitch,ND7YXptQpfcoYks37w3hh28VzIJ2,2,Background music,6
32,Interval,ND7YXptQpfcoYks37w3hh28VzIJ2,2,Mental demand,5
33,Interval,ND7YXptQpfcoYks37w3hh28VzIJ2,2,Physical demand,4
